id,output
0,(ORDER i want (PIZZAORDER (NUMBER a ) pizza with (TOPPING pesto ) and (TOPPING mushrooms ) but no (NOT (TOPPING pineapple ) ) ) )
1,(ORDER i would like to try (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING tuna ) pizzas with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and no (NOT (TOPPING pesto ) ) ) )
2,(ORDER can i get (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepperoni ) and (TOPPING chicken ) pizza with no (NOT (TOPPING mushrooms ) ) ) )
3,(ORDER get me (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE coke ) ) and (DRINKORDER (NUMBER five ) (SIZE large ) (DRINKTYPE fantas ) ) )
4,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza along with (TOPPING sausage ) (TOPPING mushrooms ) but hold (NOT (TOPPING ham ) ) ) please )
5,(ORDER i'll go for (DRINKORDER (NUMBER one ) (DRINKTYPE pepsi ) ) (DRINKORDER (NUMBER six ) (SIZE large ) (DRINKTYPE diet cokes ) ) and (DRINKORDER (NUMBER a ) (SIZE medium ) (DRINKTYPE fanta ) ) )
6,(ORDER i would like (PIZZAORDER (NUMBER one ) pie with (TOPPING sausage ) (TOPPING olives ) and (TOPPING pineapple ) ) )
7,(ORDER can i have (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING mushrooms ) and (TOPPING bacon ) (TOPPING pepperoni ) ) )
8,(ORDER i want to get (PIZZAORDER (NUMBER a ) (SIZE large ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) (TOPPING pepperoni ) pizza with no (NOT (TOPPING bacon ) ) ) )
9,(ORDER i need (PIZZAORDER (NUMBER one ) (SIZE large ) pie with (TOPPING onions ) (STYLE thin crust ) (TOPPING chicken ) ) )
10,(ORDER get me (PIZZAORDER (NUMBER a ) pizza with (TOPPING sausage ) (TOPPING olives ) and (TOPPING pineapple ) ) )
11,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken ) and (TOPPING tuna ) pizza with no (NOT (TOPPING pesto ) ) ) )
12,(ORDER i want to get (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onion ) and (TOPPING tuna ) pizza hold the (NOT (TOPPING pineapple ) ) ) )
13,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with (TOPPING feta cheese ) and (TOPPING bacon ) ) )
14,(ORDER i would like to have (PIZZAORDER (NUMBER one ) pie along with (TOPPING ham ) and (TOPPING olives ) without (NOT (TOPPING pepperoni ) ) ) )
15,(ORDER i would like to order (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) (TOPPING chicken ) and (TOPPING pineapple ) pizza ) please )
16,(ORDER i need (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING pepperoni ) pizzas ) (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING onions ) (TOPPING black olives ) and (TOPPING peppers ) ) and (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE sprites ) ) )
17,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) pie with (STYLE thin crust ) and (TOPPING ham ) with no (NOT (TOPPING peppers ) ) ) )
18,(ORDER i would like to try (PIZZAORDER (NUMBER one ) (TOPPING pepperoni ) and (TOPPING ham ) pizza with no (NOT (TOPPING onions ) ) ) please )
19,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING pepperoni ) (TOPPING sausage ) (TOPPING black olives ) (TOPPING onions ) and (TOPPING anchovies ) ) and (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE cokes ) ) )
20,(ORDER get me (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING mushroom ) and (TOPPING chicken ) pie ) )
21,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING sausage ) (TOPPING pesto ) pizza without (NOT (TOPPING pepperoni ) ) ) )
22,(ORDER i'll go for (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza along with (TOPPING bacon ) (TOPPING pesto ) but avoid (NOT (TOPPING sausage ) ) ) )
23,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (TOPPING sausage ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING ham ) ) )
24,(ORDER order me (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING pepperoni ) (TOPPING sausage ) (TOPPING anchovies ) and (TOPPING onions ) ) and (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE cokes ) ) and (DRINKORDER (NUMBER one ) (SIZE large ) (DRINKTYPE sprite ) ) )
25,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING beef ) (TOPPING bacon ) (TOPPING ham ) (TOPPING onions ) and (TOPPING black olives ) ) and (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE diet cokes ) ) )
26,(ORDER order me (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING sauce ) ) ) )
27,(ORDER i would like to try (PIZZAORDER (NUMBER a ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING peppers ) and no (NOT (TOPPING pesto ) ) ) please )
28,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepper ) and (TOPPING sausage ) pizza with (TOPPING pineapples ) ) )
29,(ORDER i want (PIZZAORDER (SIZE medium ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) (TOPPING sausage ) (TOPPING mushroom ) ) )
